image,caption
img1.jpg,a glass of orange juice with a lemon slice
img10.jpg,a woman in a kitchen preparing food
img11.jpg,a mountain range with snow capped peaks
img12.jpg,a view of a city from the ground
img13.jpg,a dog sitting in the grass with its tongue out
img14.jpg,a palm tree on a beach with a clear blue ocean
img15.jpg,a woman riding a bike down a street
img16.jpg,a view of a valley with mountains and trees
img17.jpg,a man and woman running in the woods
img18.jpg,a white sports car parked on the side of a road
img19.jpg,a black car driving down a highway
img2.jpg,a blue volkswagen beetle parked in front of a wall
img20.jpg,a woman preparing food in a kitchen
img21.jpg,a small brown dog sitting in the grass
img3.jpg,a blue bmw car parked in front of a building
img4.jpg,a man riding a bike down a street
img5.jpg,a pizza with cheese and tomato sauce on a plate
img6.jpg,a beach with a sunset and a sandy shore
img7.jpg,a rabbit sitting in the grass
img8.jpg,a close up of a bunch of apples
img9.jpg,a city skyline at night
